,0
Kitchen AbvGr_2,-309.7885679961242
Kitchen AbvGr_3,-938.4442167116476
TotRms AbvGrd_4,939.3901053491254
TotRms AbvGrd_5,1226.567835003895
TotRms AbvGrd_6,1519.6494594703602
age_of_home,-12687.143609886003
age_of_garage,-7346.1227803332795
years_since_remodel,-2617.8902330205883
log_lot_area,9015.588871721033
log_1st_flr_sf,-8349.908885387107
log_gr_liv_area,-939.5895447118429
Overall Qual ^ 2,-9018.31480586353
Overall Qual x 1st Flr SF,15525.083785700608
Overall Qual x Gr Liv Area,37130.37066648609
Overall Qual x Exter Qual_Gd,-3129.5390815155406
Overall Qual x Exter Qual_TA,-13028.864933428307
Overall Qual x BsmtFin Type 1_GLQ,1453.058316495462
Overall Qual x Full Bath_2,-13504.280556917312
Overall Qual x Neighborhood_NoRidge,413.4878065007086
Overall Qual x Fireplace Qu_NA,-5024.85699502856
Overall Qual x Garage Cars,9134.491788927275
Overall Qual x Garage Area,3435.2754568267787
age_of_home x age_of_garage,7084.161792410148
Overall Qual x Exterior 1st_VinylSd,1876.3964160258047
Overall Qual x Exterior 2nd_VinylSd,2882.8999863257864
