username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
DrLindaShelton,ASlavitt,#Dentists #Painters #Construction #contracters #Surgicenters Give masks to hospitals &amp; 1st responders #Coronavirus #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,1,1,0,1241137854899683331,https://twitter.com/DrLindaShelton/status/1241137854899683331,44983352,2020-03-20 23:01:38+00:00,Fri Mar 20 23:01:38 +0000 2020,#Dentists #Painters #Construction #contracters #Surgicenters #Coronavirus #Farmers #Education #TeaParty #AARP #Veterans #MeToo #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,,,https://twitter.com/ASlavitt/status/1241038853433163776,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
MetovicTV,JessicaBlevins,Our governor did the right thing. Some ppl aren’t still taking this seriously. My family has been indoors since last week. Be safe Jess and @ninja -a friend from the willis tower ,0,9,0,1241137084905197570,https://twitter.com/MetovicTV/status/1241137084905197570,265674769,2020-03-20 22:58:34+00:00,Fri Mar 20 22:58:34 +0000 2020,,@Ninja,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
DrLindaShelton,,Diarrhea without pain may be symptom of #Coronavirus in 1st or 2nd week ,0,0,0,1241137083575668741,https://twitter.com/DrLindaShelton/status/1241137083575668741,44983352,2020-03-20 22:58:34+00:00,Fri Mar 20 22:58:34 +0000 2020,#Coronavirus,,,https://www.cbsnews.com/news/coronavirus-digestive-symptoms-diarrhea-almost-half-of-patients/,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
PaulPhelpsMD,,"Ash has instituted a daily vinyl policy where we listen to at least one album uninterrupted at 3 pm every day. #quarantine #covid_19 @Chicago, Illinois https://www.instagram.com/p/B9-RUcVnIFBl6G8_GeIz9mz6L-2mfNfMdjgrJw0/?igshid=717jlnt4ow7j",0,5,0,1241136330744061952,https://twitter.com/PaulPhelpsMD/status/1241136330744061952,1106661001,2020-03-20 22:55:35+00:00,Fri Mar 20 22:55:35 +0000 2020,#quarantine #covid_19,,,https://www.instagram.com/p/B9-RUcVnIFBl6G8_GeIz9mz6L-2mfNfMdjgrJw0/?igshid=717jlnt4ow7j,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
indiechicago,,15% off carry out and delivery at http://www.indiecafe.us #fightcovid19 #chicago dine-in restaurants will close to the public until 04/07/20 due to COVID-19 concerns .............. #インディーカフェ. . @… https://www.instagram.com/p/B9-RO0VBxje/?igshid=1uf43qikzvper,0,0,0,1241136142704992256,https://twitter.com/indiechicago/status/1241136142704992256,75969374,2020-03-20 22:54:50+00:00,Fri Mar 20 22:54:50 +0000 2020,#fightcovid19 #chicago,,,"http://www.indiecafe.us,https://www.instagram.com/p/B9-RO0VBxje/?igshid=1uf43qikzvper",chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
BenniBenniBenji,,Update: my friend who had to wait a week for his #COVID19 test has tested positive. So glad asymptomatic celebrities can get tested when sick people can’t. I just don’t know what the world would do without the goddamn Kardashians. Fuck all.,3,6,1,1241135957170163712,https://twitter.com/BenniBenniBenji/status/1241135957170163712,235206084,2020-03-20 22:54:06+00:00,Fri Mar 20 22:54:06 +0000 2020,#COVID19,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
tatumthedreamer,,so was the corona in the Popeyes chicken sandwich or what ?,0,2,0,1241135780048879616,https://twitter.com/tatumthedreamer/status/1241135780048879616,1714489104,2020-03-20 22:53:23+00:00,Fri Mar 20 22:53:23 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
Iameverywoman17,,Bandcamp waives revenue shares Friday to support artists amid COVID-19 pandemic ,0,0,0,1241135672594964488,https://twitter.com/Iameverywoman17/status/1241135672594964488,1608248515,2020-03-20 22:52:58+00:00,Fri Mar 20 22:52:58 +0000 2020,,,,https://twitter.com/i/events/1240996580670357504,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
FrenchtoastyG,richardmarx,"Oh snap, some shit is going down between Marx and Baio. Circus of the Stars!! #Covid_19 #Chicagocoronavirus",0,0,0,1241135346307530762,https://twitter.com/FrenchtoastyG/status/1241135346307530762,1028364413538127873,2020-03-20 22:51:40+00:00,Fri Mar 20 22:51:40 +0000 2020,#Covid_19 #Chicagocoronavirus,,,https://twitter.com/richardmarx/status/1241127272758697984,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
GSlutkin,,Not everyone with #Covid_19 will get treatment as there are too many patients. #StayHome #stayhomechallenge #coronavirus ,2,2,0,1241135198105894914,https://twitter.com/GSlutkin/status/1241135198105894914,17279970,2020-03-20 22:51:05+00:00,Fri Mar 20 22:51:05 +0000 2020,#Covid_19 #StayHome #StayHome #stayhomechallenge #stayhomechallenge #coronavirus,,,https://www.washingtonpost.com/health/2020/03/15/coronavirus-rationing-us/#click=https://t.co/lFOuRHO6Br,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
