username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
spoonzoo,spoonzoo,Oh dear LORD. I was right. @DrOz is the MEDICAL EXPERT we're turning to now? @realDonaldTrump seriously thinks this is all some is Reality TV Show! We are SO FUCKED. #SaveUsFauci #TrumpLiesAmericansDie #FoxNewstownhall #COVID19 #TrumpVirusCoverup #COVIDIDIOTS,0,2,1,1242519147810115584,https://twitter.com/spoonzoo/status/1242519147810115584,16911094,2020-03-24 18:30:24+00:00,Tue Mar 24 18:30:24 +0000 2020,#SaveUsFauci #TrumpLiesAmericansDie #FoxNewstownhall #COVID19 #TrumpVirusCoverup #COVIDIDIOTS,@DrOz @realDonaldTrump,,https://twitter.com/spoonzoo/status/1241065397069271046,springfield
spoonzoo,,"""I think my generation is taking this extra serious because we remember how bad we were at #OregonTrail."" #GenX #COVID19 #ShelterInPlace #StayAtHomeSaveLives See this Instagram photo by @mommywinetime https://www.instagram.com/p/B-AF5U0penl/?utm_source=ig_web_button_share_sheet",0,0,0,1242512725596606466,https://twitter.com/spoonzoo/status/1242512725596606466,16911094,2020-03-24 18:04:53+00:00,Tue Mar 24 18:04:53 +0000 2020,#OregonTrail #GenX #COVID19 #ShelterInPlace #StayAtHomeSaveLives #StayAtHomeSaveLives,@mommywinetime,,https://www.instagram.com/p/B-AF5U0penl/?utm_source=ig_web_button_share_sheet,springfield
spoonzoo,,I wanna know if @KarenKilgariff got a ventilator from her goduncle @GavinNewsom? @DynarPodcast @chrisfairbanks #COVID19 #DoYouNeedaRide,0,0,0,1242486947920130048,https://twitter.com/spoonzoo/status/1242486947920130048,16911094,2020-03-24 16:22:27+00:00,Tue Mar 24 16:22:27 +0000 2020,#COVID19 #DoYouNeedaRide,@KarenKilgariff @GavinNewsom @DynarPodcast @chrisfairbanks,,,springfield
mrbaileysays,,I 1000% support the theory put forth by @billburr: The Coronavirus did not start in China - The @NFL spawned #COVID19 to destroy the @xfl2020,0,0,0,1242477774155042817,https://twitter.com/mrbaileysays/status/1242477774155042817,18300093,2020-03-24 15:46:00+00:00,Tue Mar 24 15:46:00 +0000 2020,#COVID19,@billburr @NFL @xfl2020,,,springfield
spoonzoo,,"What's different about @NYGovCuomo when he's speaking to the people of NY vs @realDonaldTrump? He connects with them. He's empathetic, compassionate. #NYLovesEveryone Donald is a narcissist prick with a cold heart. #lovewins #trumpkills #COVID19 #nyccoronavirus #cuomobriefing",0,0,1,1242476442958598144,https://twitter.com/spoonzoo/status/1242476442958598144,16911094,2020-03-24 15:40:42+00:00,Tue Mar 24 15:40:42 +0000 2020,#NYLovesEveryone #lovewins #trumpkills #COVID19 #nyccoronavirus #cuomobriefing,@NYGovCuomo @realDonaldTrump,,,springfield
RedbirdElectric,,"We have a back log of tats we’ve done, so we’ll be posting those while we wait for Covid-19 to die. This ones by @bottlevsface on our friend @bri_hayden from 22tattooco. Give her and them a… https://www.instagram.com/p/B-Hx_ggAU9X/?igshid=19fods5fy48mo",0,1,0,1242474825697964032,https://twitter.com/RedbirdElectric/status/1242474825697964032,2230072249,2020-03-24 15:34:17+00:00,Tue Mar 24 15:34:17 +0000 2020,,@bri_hayden,,https://www.instagram.com/p/B-Hx_ggAU9X/?igshid=19fods5fy48mo,springfield
JustinCarterTV,,"We are lucky in Central Illinois. Just a glimpse of the doctors, nurses and medical personnel working 24/7 to fight COVID-19 at our hospitals. From HSHS Hospitals to Memorial.... and dozens more. Thank You! ",3,29,0,1242404719013892096,https://twitter.com/JustinCarterTV/status/1242404719013892096,165809788,2020-03-24 10:55:42+00:00,Tue Mar 24 10:55:42 +0000 2020,,,,,springfield
RandyKnight777,,"So... the same Nazi ass impeached ""president"" that has insisted upon calling #Covid19 the ""Chinese Virus"" now slowly says ""Asiaaaan"" Americans, and hints that he will end the shutdown because he wants us working?? Fuck every single one of our lives, right? #FuckTrump #TrumpVirus",1,0,0,1242214334677254144,https://twitter.com/RandyKnight777/status/1242214334677254144,748312904550744064,2020-03-23 22:19:11+00:00,Mon Mar 23 22:19:11 +0000 2020,#Covid19 #FuckTrump #TrumpVirus,,,,springfield
Jeanett12810864,realDonaldTrump,You blew it It's too late to talk about borders Mexico and Canada have far less cases of Covid 19 than we do Wonder why ,0,0,0,1242176423013613578,https://twitter.com/Jeanett12810864/status/1242176423013613578,1162419082332954624,2020-03-23 19:48:32+00:00,Mon Mar 23 19:48:32 +0000 2020,,,,,springfield
spoonzoo,spoonzoo,"I said on 3/11 #Fauci needed to do a presser with @JoeBiden. Such bullshit at this point, @realDonaldTrump is holding rallies, not giving facts &amp; information. The death of so many will be on his hands. Cheaper to let them die than to pay for extreme medical support? #COVID19 ",0,0,0,1242135450799783937,https://twitter.com/spoonzoo/status/1242135450799783937,16911094,2020-03-23 17:05:43+00:00,Mon Mar 23 17:05:43 +0000 2020,#Fauci #COVID19,@JoeBiden @realDonaldTrump,,https://twitter.com/spoonzoo/status/1237811723249356808,springfield
