username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
McKensieBartz,,Boys town: Quar Edition #COVID19 – at Boystown,0,0,0,1244391615503970304,https://twitter.com/McKensieBartz/status/1244391615503970304,346928488,2020-03-29 22:30:55+00:00,Sun Mar 29 22:30:55 +0000 2020,#COVID19,,,,chicago
jro_27,John_Ranieri,"Ah yes. The sham trial where zero witnesses were called. I remember that. I'm not, however, following what Senators were supposed to be doing during that time to protect us from COVID-19. Does Congress oversee HHS now?",0,4,1,1244391188142178306,https://twitter.com/jro_27/status/1244391188142178306,343144721,2020-03-29 22:29:13+00:00,Sun Mar 29 22:29:13 +0000 2020,,,,,chicago
MeganARech,,Nice to see a change in attitude- April is canceled #stayathome #COVID19,0,19,0,1244390711182659584,https://twitter.com/MeganARech/status/1244390711182659584,848961270946693121,2020-03-29 22:27:19+00:00,Sun Mar 29 22:27:19 +0000 2020,#stayathome #stayathome #COVID19,,,,chicago
GarethHPB,Liz_ORiordan,"But how many of the Covid deaths would have fallen within the “normal deaths”, and how many “normal” have not died? Will take a while for the statistics to be of value. ",0,0,0,1244389360226709504,https://twitter.com/GarethHPB/status/1244389360226709504,734779157691793409,2020-03-29 22:21:57+00:00,Sun Mar 29 22:21:57 +0000 2020,,,,https://twitter.com/Liz_ORiordan/status/1244354313914286084,chicago
CDMBIV,,HE SPOKE WITH WOLFGANG PUCK?! #COVID19 #CoronaUpdate #coronavirus #PressBriefing,0,0,0,1244384969897754624,https://twitter.com/CDMBIV/status/1244384969897754624,22109278,2020-03-29 22:04:31+00:00,Sun Mar 29 22:04:31 +0000 2020,#COVID19 #CoronaUpdate #coronavirus #PressBriefing,,,,chicago
ItsJayJayRS,,Quarantine day 7 Adult Coloring. #QuarantineLife #COVID19 #CoronaLockdown,0,2,0,1244384928164450304,https://twitter.com/ItsJayJayRS/status/1244384928164450304,15814274,2020-03-29 22:04:21+00:00,Sun Mar 29 22:04:21 +0000 2020,#QuarantineLife #COVID19 #CoronaLockdown,,,,chicago
the_juandy_city,,"As we start to face a global recession, right now is the best time to invest and dive into the Bikini Bottom real estate market. Stock market shares are at an all time high & there are no confirmed cases of Covid-19 down there. ",0,0,1,1244384310276296709,https://twitter.com/the_juandy_city/status/1244384310276296709,291510956,2020-03-29 22:01:53+00:00,Sun Mar 29 22:01:53 +0000 2020,,,,,chicago
1043JAMS,,a couple messsges coming in for our #healthcareheroes #Covid_19 ,0,1,0,1244382975367745536,https://twitter.com/1043JAMS/status/1244382975367745536,931528235774631942,2020-03-29 21:56:35+00:00,Sun Mar 29 21:56:35 +0000 2020,#healthcareheroes #Covid_19,,,,chicago
FutureDocs,UNMC_ID,"Is #COVID19 airborne? see author video re preprint. Keys: virus in air samples but not “airborne spread” like measles, community-socially distance &amp; sanitize Hospitals-try to put patients in neg pressure &amp; cohort Healthcare workers use PPE #GetUsPPE #6ftApartNOTUnder",14,26,1,1244382116164534272,https://twitter.com/FutureDocs/status/1244382116164534272,18478452,2020-03-29 21:53:10+00:00,Sun Mar 29 21:53:10 +0000 2020,#COVID19 #GetUsPPE #6ftApartNOTUnder,,,https://twitter.com/UNMC_ID/status/1244346382271557632,chicago
meggrave,,"Sometimes the “little” things mean a whole lot. #COVID19 #feelingthelove #WereInThisTogether Love your window, @lgreene91!",1,3,1,1244382073613193216,https://twitter.com/meggrave/status/1244382073613193216,121656766,2020-03-29 21:53:00+00:00,Sun Mar 29 21:53:00 +0000 2020,#COVID19 #feelingthelove #WereInThisTogether,@lgreene91,,,chicago
