username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
CalebGeorgeous,,"Chicago folks, stay informed. #Covid_19 #ChicagoIL",1,3,2,1241142947854397440,https://twitter.com/CalebGeorgeous/status/1241142947854397440,54395910,2020-03-20 23:21:52+00:00,Fri Mar 20 23:21:52 +0000 2020,#Covid_19 #ChicagoIL,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
wendyleeherman,,"Stay-at-home order issued for Illinois starting tomorrow at 5 p.m. and we’re like, “Cool. It’s about time. We’ve already been doing that for a week.” #stayathome #coronavirus #covid_19 @… https://www.instagram.com/p/B9-TbHvD582LXf8ZkoSwUXTrwKZ2TRvVHH4g-00/?igshid=ut86ly6fcm4a",0,1,0,1241140973578616833,https://twitter.com/wendyleeherman/status/1241140973578616833,17069908,2020-03-20 23:14:02+00:00,Fri Mar 20 23:14:02 +0000 2020,#stayathome #stayathome #coronavirus #covid_19,,,https://www.instagram.com/p/B9-TbHvD582LXf8ZkoSwUXTrwKZ2TRvVHH4g-00/?igshid=ut86ly6fcm4a,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
dsheffner33,,@GovPritzker @ILGovernorPress aren’t doctors offices supposed to remain open during this time. We just got notification that our daughters allergist is closed indefinitely and she needs her shots. How should we proceed. #Covid_19,0,0,0,1241140807740121091,https://twitter.com/dsheffner33/status/1241140807740121091,955960612391092224,2020-03-20 23:13:22+00:00,Fri Mar 20 23:13:22 +0000 2020,#Covid_19,@GovPritzker @ILGovernorPress,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
KarlaMPalmer,,Join the #CATCHWellnessChallenge! Share how you’re #findingcommunity in these tough times! #CATCHFamily #FindingCommunity #COVID19 #SocialDistancing #PhysicalDistancing @AAPSOPT,1,7,2,1241139360612978695,https://twitter.com/KarlaMPalmer/status/1241139360612978695,909802163077074946,2020-03-20 23:07:37+00:00,Fri Mar 20 23:07:37 +0000 2020,#CATCHWellnessChallenge #findingcommunity #CATCHFamily #FindingCommunity #COVID19 #SocialDistancing #PhysicalDistancing,@AAPSOPT,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
the_juandy_city,,Y'all! So I asked my @Google home what was going on in the world and this was its response! WTF! I know we all know but Google what are you keeping from us!!! @johnlegend do you happen to know since you voice my Google assistant? #coronavirus #Covid_19 #selfquarantine #lockdown,0,2,1,1241138705823301635,https://twitter.com/the_juandy_city/status/1241138705823301635,291510956,2020-03-20 23:05:01+00:00,Fri Mar 20 23:05:01 +0000 2020,#coronavirus #Covid_19 #selfquarantine #lockdown,@Google @johnlegend,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
PandorasBoxxxx,,"So the whole city of Chicago will be on lockdown starting tomorrow at 5pm because of this stupid ass COVID-19 ... Anybody outside gon have to show proof to why they’re outside , like if they going to work or whatever ..... This whole thing is so UNNECESSARY ",0,0,0,1241138235264335877,https://twitter.com/PandorasBoxxxx/status/1241138235264335877,132352072,2020-03-20 23:03:09+00:00,Fri Mar 20 23:03:09 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
OfailSue,CaslerNoel,#Covid_19 #TrumpMeltdown,0,0,0,1241137938609639432,https://twitter.com/OfailSue/status/1241137938609639432,1438470590,2020-03-20 23:01:58+00:00,Fri Mar 20 23:01:58 +0000 2020,#Covid_19 #TrumpMeltdown,,,https://twitter.com/CaslerNoel/status/1241132014595694594,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
PaulPhelpsMD,,"Ash has instituted a daily vinyl policy where we listen to at least one album uninterrupted at 3 pm every day. #quarantine #covid_19 @Chicago, Illinois https://www.instagram.com/p/B9-RUcVnIFBl6G8_GeIz9mz6L-2mfNfMdjgrJw0/?igshid=717jlnt4ow7j",0,5,0,1241136330744061952,https://twitter.com/PaulPhelpsMD/status/1241136330744061952,1106661001,2020-03-20 22:55:35+00:00,Fri Mar 20 22:55:35 +0000 2020,#quarantine #covid_19,,,https://www.instagram.com/p/B9-RUcVnIFBl6G8_GeIz9mz6L-2mfNfMdjgrJw0/?igshid=717jlnt4ow7j,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
indiechicago,,15% off carry out and delivery at http://www.indiecafe.us #fightcovid19 #chicago dine-in restaurants will close to the public until 04/07/20 due to COVID-19 concerns .............. #インディーカフェ. . @… https://www.instagram.com/p/B9-RO0VBxje/?igshid=1uf43qikzvper,0,0,0,1241136142704992256,https://twitter.com/indiechicago/status/1241136142704992256,75969374,2020-03-20 22:54:50+00:00,Fri Mar 20 22:54:50 +0000 2020,#fightcovid19 #chicago,,,"http://www.indiecafe.us,https://www.instagram.com/p/B9-RO0VBxje/?igshid=1uf43qikzvper",chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
BenniBenniBenji,,Update: my friend who had to wait a week for his #COVID19 test has tested positive. So glad asymptomatic celebrities can get tested when sick people can’t. I just don’t know what the world would do without the goddamn Kardashians. Fuck all.,3,6,1,1241135957170163712,https://twitter.com/BenniBenniBenji/status/1241135957170163712,235206084,2020-03-20 22:54:06+00:00,Fri Mar 20 22:54:06 +0000 2020,#COVID19,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
