,Coefficients
Bsmt Qual_Fa,-991.7597482444683
Bsmt Qual_Gd,-5769.097000414926
Bsmt Qual_NA,-0.0
Bsmt Qual_Po,-0.0
Bsmt Qual_TA,-4327.637189127284
Condition 1_Feedr,0.0
Condition 1_Norm,2173.6723571312336
Condition 1_PosA,719.2080954909138
Condition 1_PosN,1170.5172076001472
Condition 1_RRAe,-548.541827799078
Condition 1_RRAn,-0.0
Condition 1_RRNe,-479.368934113423
Condition 1_RRNn,-0.0
Condition 2_Norm,1155.046779930822
Condition 2_PosA,-16.15357532416714
Bsmt Cond_Gd,394.89986320645585
Bsmt Cond_NA,-0.0
Bsmt Cond_TA,382.11459479855915
Heating QC_Fa,-111.32949789658807
Heating QC_Gd,-193.5912547706652
Heating QC_TA,-1476.8577588339235
Kitchen Qual_Fa,-2210.8582324219733
Kitchen Qual_Gd,-5462.809672670254
Kitchen Qual_TA,-5762.3955209051755
Fireplace Qu_Fa,-433.58650935495797
Fireplace Qu_Gd,8.978727820533022
Fireplace Qu_NA,0.0
Fireplace Qu_Po,-657.7835415591477
Fireplace Qu_TA,-1393.6233988177605
Garage Qual_Gd,1360.9272701987866
Garage Qual_NA,0.0
Garage Qual_Po,0.0
Garage Qual_TA,-120.54110939167577
Garage Cond_Fa,-217.7500346545636
Garage Cond_Gd,-0.0
Garage Cond_NA,0.0
Garage Cond_Po,75.11073657714041
Garage Cond_TA,-0.0
Pool QC_NA,110.70850543243468
Pool QC_TA,-0.0
Full Bath_1,-0.0
Full Bath_2,0.0
Full Bath_3,2691.1616658578887
Full Bath_4,-0.0
Half Bath_1,2185.43792487831
Half Bath_2,-393.99669787607127
Bedroom AbvGr_1,0.0
Bedroom AbvGr_2,0.0
Bedroom AbvGr_3,-872.0702459885607
Bedroom AbvGr_4,209.5799245988105
Bedroom AbvGr_5,-1744.3980822079752
Bedroom AbvGr_6,-0.0
Kitchen AbvGr_1,787.1701260638606
Kitchen AbvGr_2,-0.0
Kitchen AbvGr_3,-919.5142204496716
TotRms AbvGrd_4,-0.0
TotRms AbvGrd_5,-0.0
TotRms AbvGrd_6,191.20588200351835
TotRms AbvGrd_7,-0.0
TotRms AbvGrd_8,13.685366906117087
TotRms AbvGrd_9,-969.9777988008061
TotRms AbvGrd_10,-715.4490298361968
TotRms AbvGrd_11,1978.973225180837
TotRms AbvGrd_12,1957.5699810270864
built_1983_to_present,1378.4530043164957
age_of_home,-8440.948192542714
age_of_garage,-481.0534929394025
years_since_remodel,-3082.7501181642756
log_lot_area,6475.679515318955
log_1st_flr_sf,-1218.4701663950093
log_bsmtfin_sf_1,-0.0
log_gr_liv_area,-0.0
Overall Qual ^ 2,-0.0
Overall Qual x 1st Flr SF,7325.781467544741
Overall Qual x Gr Liv Area,33513.542541714574
Overall Qual x Exter Qual_Gd,-1176.3377882528978
Overall Qual x Exter Qual_TA,-7973.887761831501
Overall Qual x Foundation_PConc,2369.2911442073582
Overall Qual x BsmtFin Type 1_GLQ,1292.7778688066048
Overall Qual x Full Bath_1,-0.0
Overall Qual x Full Bath_2,-0.0
Overall Qual x Neighborhood_NridgHt,3002.1027630849653
Overall Qual x Neighborhood_NoRidge,2252.726292128965
Overall Qual x Fireplace Qu_NA,-3153.6232149683674
Overall Qual x Garage Cars,2199.2734437676672
Overall Qual x Garage Area,2699.7053975517947
age_of_home x age_of_garage,0.0
Overall Qual x Exterior 1st_VinylSd,101.07881552394579
Overall Qual x Exterior 2nd_VinylSd,0.0
